"filename", "language", "Ignore", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "CSS", "JavaScript JSX", "Markdown", "HTML", "C#", "Properties", "comment", "blank", "total"
"c:\Git\videoportal2\backend\Backend\Backend\Utils\SaveFile.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Git\videoportal2\backend\Backend\Backend\Utils\TypeExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"c:\Git\videoportal2\backend\Backend\Backend\Utils\UserExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Git\videoportal2\backend\Backend\Backend\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 6, 97
"c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 7, 58
"c:\Git\videoportal2\frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Git\videoportal2\frontend\.prettierrc", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Git\videoportal2\frontend\.vscodeignore", "Ignore", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Git\videoportal2\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 1, 35
"c:\Git\videoportal2\frontend\package.json", "JSON", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 97
"c:\Git\videoportal2\frontend\public\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Git\videoportal2\frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Git\videoportal2\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 4, 138
"c:\Git\videoportal2\frontend\src\Theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 1, 8, 98
"c:\Git\videoportal2\frontend\src\api\axios-client.ts", "TypeScript", 0, 1037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 142, 1208
"c:\Git\videoportal2\frontend\src\api\axios-client\Client.ts", "TypeScript", 0, 1906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 225, 2275
"c:\Git\videoportal2\frontend\src\api\axios-client\Query.ts", "TypeScript", 0, 1425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 244, 285, 1954
"c:\Git\videoportal2\frontend\src\api\axios-client\helpers.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 83
"c:\Git\videoportal2\frontend\src\api\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Git\videoportal2\frontend\src\components\AppBar\AppBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Git\videoportal2\frontend\src\components\AppBar\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 4, 43
"c:\Git\videoportal2\frontend\src\components\AppBar\Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 10, 146
"c:\Git\videoportal2\frontend\src\components\Avatar\Avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 3, 8, 126
